Tweets,tweet_id,BART_Summary,Pegasus_Summary,T5_Summary
alarming if you look at the current composition of quotamovement in bangladesh other than banned jamaat shibir and violent bnp there is also the islamicmovement listen to the chief chormonai pir proudly admitting how his org has been with the protesters from outset,972651,alarming if you look at the current composition of quotamovement in bangladesh other than banned jamaat shibir and violent bnp there is also the islamicmovement. listen to the chief chormon,The chief of the chormonai pir in bangladesh has told the BBC that his org has been with the protesters from the outset,the islamicmovement listen to the chief chormonai pir proudly admitting how his org has been with the protesters
why are the socalled leaders of the quotamovement carrying and promoting the black isis flag what are they really trying to achieve here why are they endorsing mob justice and spreading islamicextremism under the guise of student activism bangladeshs future lies in unity and peace not in extremist ideologies,644136,why are the socalled leaders of the quotamovement carrying and promoting the black isis flag what are they really trying to achieve here why are they endorsing mob justice and spreading islamicextremism under the guise of student,why are the socalled leaders of the quotamovement carrying and promoting the black isis flag what are they really trying to achieve here why are they endorsing,why are the socalled leaders of the quotamovement carrying and promoting the black isis flag what are they really trying to achieve here why
case filed against ousted bangladesh pm sheikhhasina and 147 others over death of a protestor during,649917,case filed against ousted bangladesh pm sheikhhasina and 147 others over death of a protestor.,Pakistan's former Prime Minister Nawaz Sharif has been charged with murder over the death of a student during a protest in 2013.,case filed against ousted bangladesh pm sheikhhasina and 147 others over death of protestor.
at least 100 people have been killed today including 14 policemen in bangladesh bangladeshi army seems to be refusing to use live ammunition against protesters having regime facing a serious threat to its survival,149342,at least 100 people have been killed today including 14 policemen in bangladesh bangladeshi army seems to be refusing to use live ammunition.,"Thousands of people have been protesting against the government in the capital, bangladesh.",at least 100 people have been killed today including 14 policemen in bangladesh bangladeshi army. at least 100 people have been killed
london england londoners are protesting against dictator sheikh having for mass killings of students,165938,london england londoners are protesting against dictator sheikh having for mass killings of students.,.,londoners protest against dictator sheikh having for mass killings of students.
the antidiscrimination student movement at dhaka university organized a peaceful protest today calling for the prosecution of fascist hasina for julymassacre and crimes against humanity while also shedding light on the albd1971s conspiracies,354112,the antidiscrimination student movement at dhaka university organized a peaceful protest today calling for the prosecution of fascist hasina for julymassacre.,Hundreds of students have taken part in a protest in Dhaka calling for the prosecution of fascists and crimes against humanity.,the antidiscrimination student movement at dhaka university organized a peaceful protest today calling for the prosecution of fascist hasina
bangladesh is on a path to healing and recovery let us stay hopeful and supportive as the nation moves forward,216464,bangladesh is on a path to healing and recovery let us stay hopeful and supportive as the nation moves forward.,"As the world mourns the loss of life and property following the terror attack on the parliament in bangladesh, the BBC News website takes a look",bangladesh is on a path to healing and recovery let us stay hopeful and supportive as the nation moves forward. bangladesh is
after the resignation of the prime minister of bangladesh over the quotamovement students are forcibly dismissing the teachers of the educational institutions the countrys teachers are helpless today in sarishabari the students forcing the headmaster to sign the resig,579141,after the resignation of the prime minister of bangladesh over the quotamovement students are forcibly dismissing the teachers.,Bangladesh's teachers have been forced to sign a resig to stop students from harassing them.,bangladesh students are forcibly dismissing the teachers of the educational institutions the countrys teachers are helpless today in sarishab
this is how the army cheered at the ganabhaban after bangladesh prime minister sheikhhasina was dismissed from work over the quotamovement,146231,Bangladesh prime minister sheikhhasina was dismissed from work over the quotamovement.,"Bangladesh's army has celebrated the sacking of the country's first female prime minister, Sheikh Hasina.",bangladesh prime minister sheikhhasina was dismissed from work over the quotamovement. bangladesh prime minister she
students are now staying at shahbagh dhaka,326224,students are now staying at shahbagh dhaka.,Thousands of students from across the country have been arriving in Pakistan to take part in the International Students' Day celebrations.,students are now staying at shahbagh dhaka in shahbagh dhaka.
loud and clear endpoint demand end the dictatorship,993236,loud and clear endpoint demand end the dictatorship.,.,endpoint demand end the dictatorship. loud and clear endpoint demand end the dictatorship.
breaking chhatra league terrorists have set fire to a hospital bus inside pg hospital,124678,breaking chhatra league terrorists have set fire to a hospital bus inside pg hospital.,.,breaking chhatra league terrorists set fire to a hospital bus inside pg hospital.
so far the bangladesh army is on the side of the students at night you can understand where the situation is going,622435,so far the bangladesh army is on the side of the students. at night you can understand where the situation is going.,The army has been deployed in the city of bangladesh to help the students who are protesting against the government.,bangladesh army is on the side of the students at night you can understand where the situation is going. so far the bangladesh
this is the longest july in the history of bangladesh,698686,this is the longest july in the history of bangladesh.,"The world's longest-running soap opera, The Bold and the Beautiful, is to be broadcast on BBC One in the UK.",this is the longest july in the history of bangladesh. this is the longest july in the history of banglades
this is possibly the best art you will see today streets of bangladesh by students,288981,this is possibly the best art you will see today streets of bangladesh by students.,Check out some of the best street art in bangladesh,this is possibly the best art you will see today streets of bangladesh by students. this is possibly the best art you will see today streets
bosila mohammadpur 100 pm 4th august 2024 step down fascist hasina,850247,bosila mohammadpur 100 pm 4th august 2024 step down fascist hasina.,.,bosila mohammadpur step down fascist hasina in 2024.
dhaka city under attack by helicopter,940739,dhaka city under attack by helicopter.,All images are copyrighted.,dhaka city under attack by helicopter by helicopter.
can anyone share the video threads of atrocities done by dictatorhasina during the recent protest,867658,can anyone share the video threads of atrocities done by dictatorhasina during the recent protest.,All images are copyrighted.,can anyone share the video threads of atrocities done by dictatorhasina during the recent protests? can anyone share the video threads of
students showing middle finger to government curfew huge protest during the night in dhaka,770412,students showing middle finger to government curfew huge protest during the night in dhaka.,.,students showing middle finger to government curfew huge protest during the night in dhaka. students showing middle finger to government curfe
please speak about bangladesh use your platforms to spread awareness about the ongoing situation all eyes on bangladesh save bangladeshi students,957065,please speak about bangladesh use your platforms to spread awareness about the ongoing situation. all eyes on bangl Bangladesh save bangladeshi students.,students of bangladesh have been protesting against the government's decision not to allow them to study abroad.,please speak about bangladesh use your platforms to spread awareness about the ongoing situation all eyes on bangladesh save bangladeshi students
things getting changed rapidly now military started protecting students all over the country especially in camilla chittagong few places in dhaka stay strong,602579,things getting changed rapidly now military started protecting students all over the country. few places in dhaka stay strong.,Bangladesh is one of the most developed countries in the world but it's also one of the poorest.,military started protecting students all over the country especially in camilla chittagong few places in dhaka stay strong.
the power of unity for a better bangladesh 3rd august 2024 central shared minor dhaka bangladesh,817796,the power of unity for a better bangladesh 3rd august 2024 central shared minor dhaka bangl Bangladesh.,All images are copyrighted.,the power of unity for a better bangladesh 3rd august 2024 central shared minor dhaka bangladesh.
no one wait for the morning anymore utter dhaka bangladesh 300 am,374886,no one wait for the morning anymore utter dhaka bangladesh 300 am.,.,no one wait for the morning anymore utter dhaka bangladesh 300 am. no one wait for the morning anymore utter
they are still hunting and shooting people down this video is from chittagong,862820,they are still hunting and shooting people down this video is from chittagong.,This is the moment a gunman opened fire on a group of people in a busy shopping centre in north London.,they are still hunting and shooting people down this video is from chittagong. they are still hunting and shooting people down this video.
mass people are heading towards kayla area as police started firing then video taken at 617pm local time august 4 2024,924532,mass people are heading towards kayla area as police started firing then video taken at 617pm local time august 4 2024.,"Kenyan police have opened fire on protesters in the capital Nairobi, killing at least one person and injuring several others.",mass people are heading towards kayla area as police start firing then video taken at 617pm local time august 4 2024.
march to dhaka bangladesh students already in dhaka well kick having out in she allah,320089,march to dhaka bangladesh students already in dhaka well kick having out in she allah.,march to dhaka bangladesh students already in dhaka well as they allah,march to dhaka bangladesh students already in dhaka well kick having out in she allahassee.
live firing at provativag khilgaon by the goons of awami league they are killing people with sharp weapons guns step down fascist hasina,673854,live firing at provativag khilgaon by the goons of awami league they are killing people with sharp weapons guns step down fascist hasina.,Watch the video to know more.,the goons of awami league are firing at provativag khilgaon. they are killing people with sharp
you see this our own govt did this to us they are killing our students,814101,you see this our own govt did this to us they are killing our students.,"This is what happened to my son when he went to school, he was shot and killed by his own government.",our own govt are killing our students. they are killing our students.
firing at mirror 10 i can hear the sound from my home plus pray for everyone may allah keep them safe,782046,firing at mirror 10 i can hear the sound from my home plus pray for everyone may allah keep them safe.,All images are copyrighted.,firing at mirror 10 i can hear the sound from my home plus pray for everyone may allah keep them safe.
the internet service providers must not under any circumstances shutdown the connection in be,335438,the internet service providers must not under any circumstances shutdown the connection in be.,The UK's Competition and Markets Authority (CMA) has told internet service providers (ISPs) that they must ensure that their networks are not blocked,internet service providers must not shutdown the connection in belgium. internet service providers must not shutdown the connection in belgium.
after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament 36 july 5 august 2024,846722,after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament 36 july 5 august 2024.,Iraq's Prime Minister Haider al-Abadi has been re-elected for a second term in office.,after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament 36
no this is not a movie scene this is my country this is bangladesh,782208,no this is not a movie scene this is my country this is bangladesh.,"This is a scene from the film The Fighter, starring Brad Pitt and Leonardo DiCaprio.",bangladesh this is bangladesh this is bangladesh this is bangladesh this is bangladesh this is ban
never before has an entire nation awaited a sunrise with such eagerness,504651,never before has an entire nation awaited a sunrise with such eagerness.,"For the first time in the country's history, the sun has risen in the middle of the night.",never before has an entire nation awaited a sunrise with such eagerness.
a portion of the people gathered in dhaka bangladesh to take part in the event of overthrowing the regime 36th july loading,830540,a portion of the people gathered in dhaka bangladesh to take part in the event of overthrowing the regime.,"Thousands of people have taken to the streets of the Sudanese capital, Khartoum, to protest against the government of President Omar al-Bashir.",a portion of the people gathered in dhaka bangladesh to take part in the event of overthrowing the regime 36th
may allah protect all my brothers and sisters today long march to dhaka step down fascist having,425129,may allah protect all my brothers and sisters today long march to dhaka step down fascist having having.,.,may allah protect all my brothers and sisters today long march to dhaka step down fascist.
join us in this historic movement to restore democracy and justice your voice matters let us make it heard be part of the change let us reclaim our rights 15 long years of oppression ends tomorrow,456168,join us in this historic movement to restore democracy and justice your voice matters let us make it heard. 15 long years of oppression ends tomorrow.,.,join us in this historic movement to restore democracy and justice your voice matters let us make it heard be part of the change let us reclaim our rights
police so voting on students at central shared minor step down fascist having,734761,police so voting on students at central shared minor step down fascist path.,BBC News takes a look at some of the key stories of the week.,police so voting on students at central shared minor step down fascist.
july will continue until we win step down fascist having,805217,july will continue until we win step down fascist having having.,.,july will continue until we win step down fascist having won step down fascist. july will continue until we win step
fascist government has once again shut down all types of internet in bangladesh perhaps the authoritarian having government is moving towards another genocide,851624,fascist government has once again shut down all types of internet in bangladesh. perhaps the authoritarian having government is moving towards another genocide.,All images are copyrighted.,fascist government shut down all types of internet in bangladesh. authoritarian government is moving towards another genocide.
i have reached shahbag as part of longmarchtodhaka army is rather in supportive mode,621389,i have reached shahbag as part of longmarchtodhaka army is rather in supportive mode.,.,i have reached shahbag as part of longmarchtodhaka army is rather in supportive mode.
hundreds of thousands of people have started to march toward the center of bangladesh capital dhaka the country chief of army staff will address the nation at 300pm,380772,hundreds of thousands of people have started to march toward the center of bangladesh capital dhaka. Chief of army staff will address the nation at 300pm.,Thousands of people have taken to the streets of bangladesh to demand the resignation of the prime minister.,hundreds of thousands march toward the center of bangladesh capital dhaka. the country chief of army staff will address the nation at 300
at least 80 people died today having is committing a genocide to stay in power,315587,at least 80 people died today having is committing a genocide to stay in power.,"Uganda's President Yoweri Museveni has said he will step down at the end of the year, after 37 years in power.",at least 80 people died today after genocide to stay in power. at least 80 people have died.
i cannot express how much happy i am right now its the biggest victory,919961,i cannot express how much happy i am right now its the biggest victory.,.,i cannot express how much happy i am right now its the biggest victory.
incredible scenes from on the way to shaaban dhaka bangladesh people climbing on the tank and waving bangladesh flag with military personnel,563467,incredible scenes from on the way to shaaban dhaka bangladesh. People climbing on the tank and waving bangl Bangladesh flag with military personnel.,"Thousands of people have taken to the streets of Bangladesh's capital, Dhaka, to celebrate the country's independence day.",incredible scenes from on the way to shaaban dhaka bangladesh people climbing on the tank and waving bangladesh
those who are participating in the long march to dhaka stay safe and earn magnificent triumph i am proud and jealous at the same time,714183,those who are participating in the long march to dhaka stay safe and earn magnificent triumph i am proud and jealous at the same time.,The long march to dhaka is a historic event in the history of the country.,those participating in the long march to dhaka stay safe and earn magnificent triumph i am proud and jealous at the same time.
look the condition of minorities in bangladesh sob mandola got killed by extremist inside the police station,179866,look the condition of minorities in bangladesh sob mandola got killed by extremist inside the police station.,Watch this video to know more about what happened in bangladesh.,bangladesh sob mandola killed by extremist inside bangladesh police station.
the value of your deep resentment for the desecration of the bangladeshi flag is commensurate to the value you give to the flags of other nations bring your own house in order before you cry foul,348319,the value of your deep resentment for the desecration of the bangladeshi flag is commensurate to the value you give to the flags of other nations. bring your own house in order before you cry foul.,The value of your deep resentment for the desecration of the bangladeshi flag is commensurate to the value you give to the flags of other nations bring,the value of your deep resentment for the desecration of the bangladeshi flag is proportionate to the value you give to the
students protesting again i am sure the government of india will do kadi kinda so the hindus stay safe there,410534,students protesting again i am sure the government of india will do kadi kinda so the hindus stay safe there.,BBC Hindi's Geeta Pandey reports from Delhi.,students protesting again i am sure the government of india will do kadi kinda so the hindus stay safe there.
according to the 10page in report nearly 400 deaths were reported between july 16 and august 4,188282,according to the 10page in report nearly 400 deaths were reported between July 16 and august 4.,A report into the deaths of hundreds of people killed by the 2010 earthquake and tsunami in Japan has been released.,nearly 400 deaths reported between july 16 and august 4.
the july shared smriti foundation decided in its first executive meeting that each martyrs family from the july uprising will receive tk5 lakh and each injured person up to tk1 lakh,158085,the july shared smriti foundation decided in its first executive meeting that each martyrs family from the july uprising will receive tk5 lakh and each injured person up to tk1 lakh.,The family members of those who died in the 1971 war of independence from India and those who were injured in the conflict will be given a share of,each martyrs family from the july uprising will receive tk5 lakh and each injured person up to tk1 lakh
the government today published a draft list of 708 individuals who lost their lives during the studentled mass uprising in july and august this year,231804,The government today published a draft list of 708 individuals who lost their lives during the studentled mass uprising.,The names of those who died during the Arab Spring have been published for the first time.,the government publishes a draft list of 708 individuals who lost their lives during the studentled mass uprising in july and august
taibur rahmans education and treatment are at risk after being shot in the julyaugust uprising as his fathers tea shop has closed his family pleads for government support to continue his recovery and studies,481797,taibur rahmans education and treatment are at risk after being shot in the julyaugust uprising as his fathers tea shop has closed. His family pleads for government support to continue his recovery and studies.,A 12-year-old boy who was shot in the head by a policeman in the Indian-administered Kashmir town of Shopian has been discharged from hospital,taibur rahmans education and treatment are at risk after being shot in the julyaugust uprising. his father
alhamdulillah by the grace of allah i am safe sound we did not achieve our victory yet its just a first step towards victory were demanding an urgent caretaker government we do not want army rules,406300,alhamdulillah by the grace of allah i am safe sound we did not achieve our victory yet its just a first step towards victory were demanding an urgent caretaker government we do not want army rules.,Pakistan's opposition leader Nawaz Sharif has said the country's military rulers should step down after the country's general election.,alhamdulillah by the grace of allah i am safe sound we did not achieve our victory yet its just a first step
tomorrow is the march to dhaka begin your journey to dhaka now to witness history and join the final battle we officially call upon the military to support the popular uprising asif mahmud coordinator antidiscrimination student movement,783964,tomorrow is the march to dhaka begin your journey to Dhaka now to witness history and join the final battle we officially call upon the military to support the popular uprising.,This is the final day of the protests in dhaka.,tomorrow is the march to dhaka begin your journey to dhaka now to witness history and join the final battle we officially call upon the
death toll is mounting in bangladesh at least 50 people killed today alone this killer government must go people needs help the country needs power transition,192008,death toll is mounting in bangladesh at least 50 people killed today alone this killer government must go people needs help the country needs power transition.,Uganda's President Yoweri Museveni has said he will step down at the end of the year.,death toll is mounting in bangladesh at least 50 people killed today alone this killer government must go people needs help the country needs power transition
the fate of our country rests in the success of this revolution,133711,the fate of our country rests in the success of this revolution.,All photographs  Getty Images,the fate of our country rests in the success of this revolution.
its the end game either we die or take her down and drag her down the mud ya allah intahi bi alzalimeen may allah shower us with blessings,708996,its the end game either we die or take her down and drag her down the mud ya allah intahi bi alzalimeen may allah shower us with blessings.,"Hi everyone, I've been playing a game with a girl and she's getting very muddy.",the end game either we die or take her down and drag her down the mud ya allah intahi bi alzalim
today was the bloodiest day of the july genzrevolution with at least 100 deaths determined to oust the dictator protesters are calling for a nationwide marchtodhaka to restore democracy in bangladesh fears of more violence tomorrow we urge intl attention,135347,today was the bloodiest day of the july genzrevolution with at least 100 deaths determined to oust the dictator protesters are calling for a nationwide marchtodhaka to restore democracy in bangladesh.,Tunisia's President Zine al-Abidine Ben Ali has been forced to step down after three weeks of protests against his rule.,protesters are calling for a nationwide marchtodhaka to restore democracy in bangladesh. at least 100 people have died in the
updates before tomorrows marchtodhaka 1 high court dismisses petition seeking not to shoot the students 2 mobile data based internet has been shut down again 3 more than 32 killed around bangladesh by awami league members 4 the pm doubles down blames terrorists bal,514794,High court dismisses petition seeking not to shoot the students. Mobile data based internet has been shut down again.,"A daily guide to the key stories, newspaper headlines and quotes from the news in Bangladesh.",the pm doubles down blames terrorists baltimore. the pm doubles down blames terrorists baltimore.
the bangladesh student movement has called for a march to dhaka tomorrow,139713,Bangladesh student movement has called for a march to dhaka tomorrow.,Students in Bangladesh are calling for an end to military rule in the country.,bangladesh student movement calls for a march to dhaka tomorrow.
only today the first day of non cooperation movement 88 protesters killed by hasinas police and militia force students declared marchtodhaka tomorrow to take down the dictator please join the movement by any means possible,183276,88 protesters killed by hasinas police and militia force students declared marchtodhaka tomorrow to take down the dictator.,The dictator Zine al-Abidine Ben Ali has been in power for 30 years and his rule has been marked by violence and corruption.,only today the first day of non cooperation movement 88 protesters killed by hasinas police and militia force students declared marchtodhaka tomorrow
hundreds of places are under attack now street lights are off gunshots echo we do not know how many will survive tonight if you do come to the streets tomorrow to save our country its now or never,729055,hundreds of places are under attack now street lights are off gunshots echo. We do not know how many will survive tonight if you do come to the streets tomorrow to save our country its now or never.,Thousands of people are expected to take to the streets of Belfast tonight to show support for the people of Northern Ireland.,hundreds of places are under attack now street lights are off gunshots echo we do not know how many will survive tonight if you do come to the
today august 5th 2024 aka july 36 2024 this is going to be a historical day for the people of bangladesh as the common people students,818966,today august 5th 2024 aka july 36 2024 this is going to be a historical day for the people of bangladesh.,Today is the first day of school in bangladesh.,today august 5th 2024 aka july 36 2024 this is going to be a historical day for the people of bangladesh
its 440ambut sleep so many things going on our mind right now that cannot be explained today is the day everyone please pray that everything goes well today step down fascist having,929317,its 440ambut sleep so many things going on our mind right now that cannot be explained today is the day everyone please pray that everything goes well today step down fascist having having.,It's the day the UK goes to the polls to decide who will run the country for the next four years.,440ambut sleep so many things going on our mind right now that cannot be explained today is the day everyone please pray that everything goes well today step
breaking date change march to dhaka announced for tomorrow 5 august 2024 for the final push leave your own district for dhaka if you are not from dhaka location shahbagh dhaka,610933,breaking date change march to dhaka announced for tomorrow 5 august 2024 for the final push leave your own district for dhaka if you are not from dhaka location shahbagh dhaka.,Bangladesh's Prime Minister Sheikh Hasina has announced the end of military rule in the country.,breaking date change march to dhaka announced for tomorrow 5 august 2024 for the final push leave your own district for dhaka if
today we have regained freedom alhamdulillah this is only possible for students,910461,today we have regained freedom alhamdulillah this is only possible for students.,This is the story of how a school in Pakistan was taken over by the Taliban.,we have regained freedom alhamdulillah this is only possible for students. today we have regained freedom al
so today 36th of july bangladeshistudents and common people of this nation were to marchtodhaka to join the central shaheed minar to join the mass movement but mobile internet along w broadband were cutoff from around 1100 in the morning when do this atrocities end,677194,Mobile internet along w broadband were cutoff from around 1100 in the morning when do this atrocities end.,"Mobile internet has been cut off in the capital city of Bangladesh, Dhaka, as protests over the killing of secularist blogger Avijit Roy continue.",so today 36th of july bangladeshistudents and common people marchtodhaka to join the mass movement. mobile
this is a historical genzrevolution against fascist hasina regime step down fascist hasina,250748,this is a historical genzrevolution against fascist hasina regime step down fascist haveina regime.,.,this is a historical genzrevolution against fascist hasina regime step down fascist hasina. this is
will will stop this killing by killer having news source proton all,679452,will will stop this killing by killer having news source proton all.,"BBC Newsnight will be bringing you live coverage of the UK general election on BBC One, BBC Two, BBC Radio 5 live, BBC Radio 5 live",will will stop this killing by killer having news source proton all.
ousted bangladeshs prime minister sheikh hasina her son sajeeb wazed joy and niece tulip siddiq embezlled 5 billion from overpriced 1265 billion rooppur nuclear power plant through malaysian banks,798901,Prime Minister sheikh hasina her son sajeeb wazed joy and niece tulip siddiq embezlled 5 billion from overpriced 1265 billion nuclear power plant.,"Saudi Arabia's richest woman, Sheikha Fatima bint Mubarak, has said she will not step down as head of state.",sheikh hasina her son sajeeb wazed joy and niece tulip siddiq embezl
bangladesh i have not seen 71 but i have seen 24,945218,bangladesh i have not seen 71 but i have seen 24.,BBC Sport takes a look at some of the key stories of the week.,bangladesh i have not seen 71 but i have seen 24.
ban the bel and every student political wings bring justice for each and every murder by the police we want them to be brought to trial not some other students who r falsely convicted for students murders,909151,ban the bel and every student political wings bring justice for each and every murder by the police. We want them to be brought to trial not some other students who r falsely convicted for students murders.,ban the bel and every student political wings bring justice for each and every murder by the police we want them to be brought to trial not other students,ban the bel and every student political wings bring justice for each and every murder by the police we want them to be brought to trial not some other students
please talk about bangladesh,881827,please talk about bangladesh.,"BBC News NI will be bringing you live coverage of the UK general election on BBC News NI, BBC News NI Extra, BBC News NI Sport, BBC",please talk about bangladesh.
todaythe noncooperation movement is taking place in our country with student protesters 1 point claim step down fascist hasina either it is going to be blood game or victory light for us but we will not step backcome forward together,866781,todaythe noncooperation movement is taking place in our country with student protesters 1 point claim step down fascist hasina either it is going to be blood game or victory light for us but we will not step backcome forward together.,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at some of the key stories of the week.",student protesters 1 point claim step down fascist hasina either it is going to be blood game or victory light for us but we will not
we want our rights back,890425,we want our rights back.,BBC Sport takes a look at some of the key stories from the weekend.,we want our rights back.
first of allcourt cancelled the writ of open firing on students during protest then police bsl started klling our people today and now government shut down internet againliterally die you fascists we want you gone,998785,first of allcourt cancelled the writ of open firing on students during protest. then police bsl started klling our people today and now government shut down internet againliterally die you fascists we want you gone.,This is the latest in a series of developments in Zimbabwe.,first of allcourt cancelled the writ of open firing on students during protest then police bsl started klling our people today
the end of july and it needs to keep stayed in the memory so that it returns every year and we recall the martyrs and their sacrifice,600496,the end of july and it needs to keep stayed in the memory so that it returns every year and we recall the martyrs and their sacrifice.,"On the eve of the 70th anniversary of the end of World War II, the BBC News website pays tribute to those who lost their lives in the",the end of july and it needs to keep stayed in the memory so that it returns every year. we recall the martyrs and their
we deserve a peaceful country a peaceful world stop these nightmares i am tired even breathing seems too much,616922,we deserve a peaceful country a peaceful world stop these nightmares i am tired even breathing seems too much.,All images are copyrighted.,we deserve a peaceful country a peaceful world stop these nightmares i am tired even breathing seems too much.
her brother was wrongfully arrested during the protest and she herself stood in front of the police van to protect her brother fear is contiguous fortunately so is courage,536721,her brother was wrongfully arrested during the protest and she herself stood in front of the police van to protect her brother fear is contiguous fortunately so is courage.,This is the story of a young woman who was arrested during a protest against the killing of her brother by police in north-west Nigeria.,her brother was wrongfully arrested during the protest. she stood in front of the police van to protect her brother fear is contiguous. courage
a student dead headset by snipers who are supporting the bad govt,690909,a student dead by snipers who are supporting the bad govt.,A video has emerged of a student being shot dead by a sniper while wearing a headset that mimics the sound of gunfire.,headset by snipers who are supporting the bad govt.
first students and now teachers everything has its limit but be govt is keep crossing that the outcome will never not be in that fascists favor,176608,first students and now teachers everything has its limit but be govt is keep crossing that the outcome will never not be in that fascists favor.,It's been a long time since we had a government that was willing to listen to the voice of the people.,be govt is keeping crossing that the outcome will never not be in that fascists favor. the outcome will never be in that fasci
ya allah let it be our day todaylet the victory touch our blood todaywe will free this nation from fascist hasina ameen,766611,ya allah let it be our day todaylet the victory touch our blood todaywe will free this nation from fascist hasina ameen.,All images are copyrighted.,ya allah let it be our day todaylet the victory touch our blood todaywe will free this nation from fascist hasina am
fear is contagious fortunately so is courage,743403,fear is contagious fortunately so is courage.,BBC News NI looks at some of the top stories from the past 24 hours.,fear is contagious fortunately so is courage so is courage. fear is contagious fortunately so is courage.
last day of bloody july may allah grant hannah to our martyred brothers sisters and keep all students safe sound as they stand up against injustice amen ya allah,738966,last day of bloody july may allah grant hannah to our martyred brothers sisters and keep all students safe sound as they stand up against injustice amen ya allah.,All images are copyrighted.,last day of bloody may allah grant hannah to our martyred brothers sisters and keep all students safe sound as they stand up against injustice
from the river to the sea bangladesh will be free inshaallah,476216,from the river to the sea bangladesh will be free inshaallah.,"On the eve of the 100th anniversary of the Battle of the Somme, BBC News NI takes a look back at some of the key moments in the",from the river to the sea bangladesh will be free inshaallah. from the river to the sea bangladesh will be
social welfare adviser to the interim government sharmin s murshid and general secretary of the foundation mir mahbubur rahman snigdho handed over the cheque of taka one lakh to each family today at combined military hospital cmh dhaka link in comments,936888,social welfare adviser to the interim government sharmin s murshid and general secretary of the foundation mir mahbubur rahman snigdho handed over the cheque.,A foundation set up to help the families of the people who died in the twin blasts at the Holey Artisan Bakery in the capital has handed over a,social welfare adviser sharmin s murshid and general secretary of the foundation mir mahbubur rahman snigdh
bangladeshi mullahs demonstrating on dhaka street they will not allow durga puma in the field where every year puma committee do in utter,561064,bangladeshi mullahs demonstrating on dhaka street they will not allow durga puma in the field where every year puma committee do in utter silence.,.,bangladeshi mullahs will not allow durga puma in the field where every year puma committee do in
this muslim child who was arrested for vandalizing hindu idols says if you destroy hindu idols you will get reward after death you will get paradise from childhood the followers of the called religion of peace teach them to destroy,523526,this muslim child who was arrested for vandalizing hindu idols says if you destroy hindu idol you will get reward after death. The followers of the called religion of peace teach them to destroy.,A 12-year-old boy who was arrested for vandalizing idols in the southern Indian city of Bangalore says he was taught to destroy them by the followers,muslim child arrested for vandalizing hindu idols says if you destroy hindu idols you will get reward after death.
on august 4 bdbnp78 activists murdered a awamileagues youth front leader in kishoreganj they also critically assaulted another student front leader bone in his skull is broken and now requires transplantation,294449,on august 4 bdbnp78 activists murdered a awamileagues youth front leader in kishoreganj. They also critically assaulted another student front leader bone in his skull is broken and now requires transplantation.,Two student leaders of Bangladesh's main opposition Jamaat-e-Islami are in a critical condition in a hospital in Dhaka after being attacked by,on august 4 bdbnp78 activists murdered a awamileagues youth front leader in kishoreganj. they
a bangladeshi cricket fan was in trouble so the police took him to the hospital for treatment but when the bangladesh government was in trouble they treated indians badly and every indian regrets this act,778346,a bangladeshi cricket fan was in trouble so the police took him to the hospital for treatment. When the bangladesh government was in. trouble they treated indians badly and every indian regrets this act.,This is the story of a cricket fan who was beaten up by police in bangladesh.,bangladesh government treated indians badly and every indian regrets this act. every indian regrets this act and every indian
this is how dr runs is justifying the mob killings political revenge at home in international media denial and silence about attacks on minorities and albd1971 activists as well,918531,this is how dr runs is justifying the mob killings political revenge at home in international media denial and silence about attacks on minorities.,"Bangladesh's Prime Minister Sheikh Hasina has defended her government's record on human rights, saying: ""We did not commit any crime.""",dr runs is justifying the mob killings political revenge at home in international media denial and silence about attacks on minorities and albd
what happened at a mosque in the capital of bangladesh during prayer suddenly everyone got up and started throwing shoes sandals at each other a video is going viral showing a dispute arising over castes,522582,what happened at a mosque in the capital of bangladesh during prayer suddenly everyone got up and started throwing shoes sandals at each other a video is going viral showing a dispute arising over castes.,"sandal throwing is a common sight in many parts of the world, but in Bangladesh it's a rare sight.",a video is going viral showing a dispute arising over castes at a mosque in bangladesh during prayer suddenly everyone got up
we have a legendary leader still in us who loves to say free palestine loud and clear in the stage of world leaders yes i am talking about sheikhhasina the living gem of bangladesh,861819,we have a legendary leader still in us who loves to say free palestine loud and clear in the stage of world leaders yes i am talking about sheikhhasina the living gem of bangladesh.,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at some of the most memorable quotes from the continent'",we have a legendary leader still in us who loves to say free palestine loud and clear in the stage of world leaders yes i am talking
a group of armed cadres from bdbnp78 and bjiofficial attacked awamileague party office in raiganj upazila sirajganj they murdered six activists inside the party office and hundreds of activists were admitted to the hospital,208276,a group of armed cadres from bdbnp78 and bjiofficial attacked awamileague party office in raiganj upazila sirajganj they murdered six activists inside the party office. Hundreds of,At least six people were killed and hundreds injured in an attack on awamileague party office in Rajshahi on Sunday night.,armed cadres from bdbnp78 and bjiofficial attacked awamileague party office in raiganj
